,abw,afg,ago,aia,alb,and,ant,are,arg,arm,asm,ata,atf,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bvt,bwa,caf,can,cck,che,chl,chn,civ,cmr,cod,cog,cok,col,com,cpv,cri,cub,cxr,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,ecu,egy,eri,esh,esp,est,eth,fin,fji,flk,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hkg,hmd,hnd,hrv,hti,hun,idn,ind,iot,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,kwt,lao,lbn,lbr,lby,lca,lka,lso,ltu,lux,lva,mac,mar,mda,mdg,mdv,mex,mhl,mkd,mli,mlt,mmr,mne,mng,mnp,moz,mrt,msr,mus,mwi,mys,myt,nam,ncl,ner,nfk,nga,nic,niu,nld,nor,npl,nru,nzl,omn,pak,pan,pcn,per,phl,plw,png,pol,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sau,sdn,sen,sgp,sgs,shn,slb,sle,slv,smr,som,spm,srb,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkl,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umi,ury,usa,uzb,vat,vct,ven,vgb,vnm,vut,wlf,wsm,yem,zaf,zmb,zwe
abw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33696.0,3576447.0,0.0,0.0,0.0,0.0,59.0,0.0,463217.0,0.0,0.0,2098900.0,0.0,0.0,0.0,0.0,0.0,466452.0,2118.0,0.0,0.0,0.0,0.0,41990900.0,1279041.0,0.0,0.0,0.0,0.0,0.0,26835592.0,0.0,11705900.0,2235254.0,11561422.0,0.0,0.0,0.0,0.0,0.0,97234445.0,0.0,0.0,3237218.0,0.0,0.0,0.0,25022.0,2575.0,5187427.0,0.0,0.0,1066088.0,1355484.0,0.0,256215.0,0.0,0.0,0.0,4595072.0,3485.0,0.0,6662410.0,0.0,0.0,50176456.0,0.0,0.0,0.0,46615778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698.0,0.0,0.0,183601.0,0.0,201751.0,2274786.0,0.0,0.0,0.0,0.0,26000.0,598915.0,1672129.0,0.0,38384.0,0.0,0.0,0.0,439000.0,8960105.0,880831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10956682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25762.0,0.0,0.0,0.0,0.0,0.0,0.0,25447809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84327047.0,30531.0,0.0,0.0,1042774.0,0.0,25507.0,26404159.0,0.0,2267696.0,217167.0,0.0,0.0,1261297.0,0.0,225913.0,10312006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140002.0,0.0,0.0,0.0,0.0,0.0,23100.0,414871.0,0.0,1727567.0,0.0,0.0,0.0,0.0,0.0,0.0,3066537.0,0.0,0.0,0.0,0.0,0.0,1343720.0,0.0,412375.0,0.0,0.0,0.0,1203177.0,0.0,0.0,534041493.0,0.0,0.0,0.0,1846955.0,0.0,0.0,0.0,0.0,0.0,0.0,163530.0,0.0,0.0
afg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234994803.0,1209145.0,0.0,0.0,0.0,0.0,0.0,8577360.0,19039500.0,7450133.0,0.0,36899941.0,0.0,0.0,0.0,9190887.0,0.0,0.0,1165858.0,0.0,0.0,0.0,0.0,8330557.0,0.0,0.0,0.0,0.0,0.0,0.0,96114216.0,0.0,5260635.0,0.0,168108308.0,0.0,0.0,0.0,0.0,0.0,1577342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19941959.0,354318702.0,0.0,0.0,24278557.0,0.0,0.0,0.0,43574530.0,0.0,0.0,55692020.0,1541120.0,0.0,1650433.0,0.0,0.0,59731095.0,0.0,0.0,0.0,301671049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2965519.0,0.0,0.0,0.0,0.0,0.0,3740088.0,0.0,0.0,4374566.0,0.0,7375000.0,53858196.0,391972419.0,0.0,9128160.0,63627184.0,0.0,0.0,519000.0,30410511.0,0.0,17693.0,96876560.0,170836116.0,19602589.0,0.0,0.0,0.0,0.0,67924121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609016.0,2344823.0,13780691.0,0.0,0.0,0.0,0.0,0.0,729459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20338922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103242941.0,3177066.0,0.0,0.0,267883.0,0.0,1681914311.0,0.0,0.0,6636.0,4896825.0,0.0,0.0,11061811.0,0.0,139250.0,0.0,0.0,0.0,0.0,17686911.0,539131501.0,0.0,0.0,0.0,0.0,17323199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28438350.0,0.0,0.0,26922260.0,1978449.0,46115259.0,0.0,0.0,0.0,0.0,0.0,0.0,145998875.0,0.0,0.0,0.0,0.0,0.0,0.0,113773.0,259171933.0,0.0,0.0,0.0,14008877.0,0.0,0.0,2071774791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39611666.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282704071.0,144382389.0,0.0,0.0,0.0,0.0,0.0,9010033.0,12856499.0,0.0,0.0,375424470.0,0.0,0.0,0.0,1769509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942471668.0,0.0,0.0,0.0,0.0,0.0,0.0,189174206.0,0.0,23352509.0,3846867.0,1958148044.0,0.0,0.0,0.0,0.0,0.0,4497883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27597922.0,325369739.0,0.0,0.0,23433408.0,0.0,0.0,0.0,17855383.0,0.0,0.0,370631434.0,1268284.0,0.0,65425820.0,0.0,0.0,838217005.0,0.0,0.0,0.0,826204835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821646.0,0.0,0.0,0.0,0.0,0.0,31282641.0,0.0,0.0,79511.0,0.0,2091000.0,148775846.0,596594201.0,0.0,15364121.0,0.0,0.0,0.0,36813000.0,298367492.0,0.0,0.0,131027264.0,0.0,0.0,0.0,0.0,0.0,0.0,155002293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771967.0,2118266.0,4904.0,0.0,0.0,0.0,0.0,0.0,17803159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93894946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320868535.0,458871055.0,0.0,0.0,16257834.0,0.0,13314901.0,0.0,0.0,296077.0,404258.0,0.0,0.0,11068566.0,0.0,2494503324.0,0.0,0.0,0.0,0.0,2589324.0,10277206.0,0.0,0.0,0.0,0.0,317695228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7919480.0,0.0,0.0,1706528.0,163641.0,83417311.0,0.0,0.0,0.0,0.0,0.0,0.0,142920769.0,0.0,0.0,0.0,0.0,0.0,0.0,7559580.0,107943697.0,0.0,0.0,0.0,5570830.0,0.0,0.0,1282211123.0,0.0,0.0,0.0,0.0,0.0,111125460.0,0.0,0.0,0.0,0.0,693344572.0,0.0,0.0
aia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287724.0,0.0,0.0,112992.0,0.0,0.0,0.0,0.0,0.0,0.0,4736.0,0.0,0.0,0.0,0.0,389478.0,0.0,0.0,0.0,0.0,0.0,0.0,881244.0,0.0,102098.0,84273.0,0.0,0.0,0.0,0.0,0.0,0.0,93155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37065.0,2063051.0,0.0,0.0,98034.0,0.0,0.0,0.0,0.0,0.0,0.0,100421.0,0.0,0.0,45291.0,0.0,0.0,4237817.0,0.0,0.0,0.0,750577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122660.0,115117.0,0.0,920.0,0.0,0.0,0.0,0.0,754104.0,0.0,0.0,807993.0,0.0,0.0,0.0,0.0,0.0,0.0,54076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919.0,0.0,0.0,0.0,0.0,0.0,55252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872714.0,0.0,0.0,0.0,7964.0,0.0,0.0,0.0,0.0,25018.0,1017.0,0.0,0.0,21842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829.0,71819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29252.0,0.0,0.0,0.0,1691059.0,0.0,0.0,35296599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alb,0.0,1670.0,0.0,0.0,24035.0,10056.0,0.0,2225913.0,6206079.0,847.0,0.0,0.0,0.0,4037.0,1246447.0,70044259.0,19582844.0,0.0,23347231.0,0.0,0.0,561940.0,76209881.0,2845.0,76136.0,33211841.0,930448.0,36462.0,0.0,11634.0,40026542.0,15298.0,10725.0,0.0,0.0,0.0,7272.0,12129825.0,611.0,65347825.0,204541.0,259192769.0,187250.0,78910.0,0.0,8715.0,0.0,287387.0,1868.0,72612.0,779418.0,79140.0,0.0,0.0,2853591.0,59226741.0,230685267.0,0.0,5280.0,6971286.0,137626.0,5485729.0,10979027.0,15896336.0,0.0,0.0,66115307.0,236810.0,113679.0,9258451.0,0.0,292852.0,111323177.0,0.0,0.0,90933.0,62600634.0,4770109.0,0.0,1571.0,0.0,0.0,0.0,0.0,539983578.0,3504.0,0.0,46489.0,0.0,0.0,2809220.0,0.0,80375.0,80654142.0,21.0,41645325.0,3985221.0,36084172.0,914071.0,10065618.0,879570.0,0.0,1109893.0,30397483.0,1173868457.0,0.0,524240.0,18020691.0,3590756.0,21580.0,34732.0,9652.0,42.0,0.0,18767094.0,1451472.0,0.0,87816.0,0.0,0.0,0.0,56342.0,0.0,680045.0,450535.0,356387.0,32912.0,735462.0,4112881.0,994.0,0.0,2534765.0,0.0,66833581.0,42658.0,2116630.0,128623.0,0.0,647.0,0.0,424.0,37036.0,0.0,2443.0,1254.0,3849378.0,0.0,16572.0,0.0,0.0,0.0,1157.0,25030.0,0.0,40320040.0,2040559.0,146.0,0.0,1270149.0,300.0,1544541.0,1003754.0,0.0,134118.0,368148.0,0.0,0.0,59612566.0,487818.0,2837121.0,1657479.0,0.0,0.0,653919.0,52920065.0,94156929.0,0.0,4329462.0,0.0,5766.0,1704676.0,0.0,0.0,0.0,24449.0,0.0,250118.0,0.0,0.0,197450167.0,15112.0,0.0,8583499.0,44227500.0,12223536.0,243639.0,0.0,1651882.0,28731.0,0.0,0.0,14940822.0,0.0,467.0,41660514.0,0.0,0.0,0.0,1288597.0,235381100.0,0.0,2657.0,152437.0,39220860.0,0.0,129987.0,65018888.0,0.0,0.0,7402.0,23860.0,0.0,3567909.0,0.0,0.0,0.0,0.0,1564696.0,0.0,853.0
and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998507.0,60289.0,0.0,0.0,0.0,0.0,0.0,0.0,3616296.0,0.0,0.0,9888390.0,0.0,0.0,0.0,483789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10591.0,0.0,0.0,0.0,0.0,0.0,0.0,85888.0,0.0,7860515.0,0.0,3368121.0,0.0,0.0,0.0,0.0,0.0,27615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335176.0,47846339.0,0.0,0.0,914600.0,0.0,0.0,0.0,70525.0,0.0,0.0,1020505220.0,8399.0,0.0,556434.0,0.0,0.0,306469648.0,0.0,0.0,0.0,9665114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124419.0,0.0,0.0,0.0,0.0,0.0,924449.0,0.0,0.0,0.0,0.0,2000.0,4300628.0,230537.0,0.0,389666.0,0.0,0.0,0.0,13000.0,25101967.0,0.0,0.0,458829.0,0.0,0.0,0.0,0.0,0.0,0.0,5217110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867663.0,0.0,0.0,0.0,0.0,0.0,0.0,23464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16068297.0,11757.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,6089940.0,0.0,0.0,2871787.0,0.0,6588429.0,0.0,0.0,0.0,0.0,631462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38263.0,0.0,0.0,0.0,0.0,0.0,0.0,313768.0,551554.0,1511690.0,0.0,0.0,0.0,0.0,0.0,0.0,1347867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332877.0,0.0,0.0,0.0,0.0,0.0,0.0,8047552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4798.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608472.0,66033041.0,0.0,0.0,0.0,0.0,0.0,834531.0,4928898.0,0.0,0.0,17637900.0,0.0,0.0,0.0,650309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952987519.0,0.0,0.0,0.0,0.0,0.0,0.0,44568613.0,0.0,30842015.0,3126492.0,103874701.0,0.0,0.0,0.0,0.0,0.0,263765061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41995.0,33420871.0,0.0,0.0,6151497.0,0.0,0.0,0.0,0.0,0.0,0.0,112579894.0,351006.0,0.0,21147193.0,0.0,0.0,70065174.0,0.0,0.0,0.0,73079546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19523.0,0.0,3675000.0,20409943.0,55413673.0,0.0,827887.0,0.0,0.0,0.0,2404000.0,70059673.0,0.0,0.0,46115280.0,0.0,0.0,0.0,0.0,0.0,0.0,18989888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24284.0,333050.0,63872.0,0.0,0.0,0.0,0.0,0.0,95769677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276196955.0,3230923.0,0.0,0.0,1701956.0,0.0,0.0,0.0,0.0,4326231.0,183011.0,0.0,0.0,2683475.0,0.0,2340338.0,0.0,0.0,0.0,0.0,5562164.0,41066774.0,0.0,0.0,0.0,0.0,26515163.0,0.0,0.0,0.0,0.0,465482.0,0.0,0.0,0.0,94800.0,0.0,0.0,311360.0,1407.0,3027415.0,0.0,0.0,0.0,0.0,0.0,0.0,12288093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19581752.0,0.0,0.0,0.0,70.0,0.0,0.0,2898902604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7590383.0,0.0,0.0
are,151091.0,19717676.0,169533871.0,4036.0,665833.0,0.0,0.0,0.0,217607049.0,1053650.0,0.0,0.0,0.0,3053.0,1870741194.0,601301700.0,1346464.0,12767075.0,1785965346.0,132529760.0,5783683.0,40755531.0,36285762.0,556692260.0,550462.0,6080242.0,1457373.0,535788.0,29420.0,355911.0,1832713536.0,572264.0,141595.0,0.0,0.0,445062.0,1975186.0,1004019851.0,0.0,2994588933.0,115238541.0,16000794293.0,25506025.0,83996369.0,113931772.0,97194320.0,0.0,44517109.0,2286520.0,37779.0,6556212.0,1706191.0,0.0,968.0,14314628.0,408277268.0,9965094578.0,20167403.0,16936.0,317330994.0,4325900.0,41864813.0,1896259.0,541694967.0,2255088.0,0.0,1094049582.0,8561668.0,75578644.0,243845485.0,502120.0,0.0,4517694901.0,8401.0,0.0,6032115.0,4751326877.0,1575318.0,456841447.0,0.0,43816954.0,444398.0,0.0,92870.0,103256800.0,0.0,0.0,61633967.0,0.0,6027055.0,1445689761.0,0.0,1470562.0,58869224.0,78641.0,518923658.0,1333541517.0,21178936489.0,0.0,317007886.0,989928738.0,1162077529.0,3443846.0,10755000.0,4047950095.0,7690507.0,256939036.0,7749580969.0,25415372.0,149140813.0,145377951.0,8567427.0,12119.0,623.0,3456888345.0,543399477.0,13777.0,284638687.0,45660005.0,963109251.0,865.0,206846379.0,6186.0,15367779.0,90872243.0,16210604.0,423047.0,182385737.0,995734.0,130061961.0,249400.0,386645887.0,0.0,383083.0,284484579.0,16417714.0,52673603.0,230304.0,13414.0,0.0,5341189.0,49787959.0,0.0,3071073.0,1694882.0,2784718298.0,0.0,8700207.0,550.0,7726.0,0.0,209794335.0,2929654.0,0.0,1605267177.0,234505050.0,1120930.0,0.0,281676948.0,948986764.0,1694757310.0,9257.0,0.0,11102923.0,217366766.0,0.0,12906.0,280491988.0,0.0,127108472.0,6432166.0,5888035.0,12164.0,522169749.0,306966159.0,652866686.0,81409.0,2947998853.0,1254111866.0,106259896.0,1560106372.0,0.0,2578.0,37652.0,1058868.0,209700.0,879971.0,73899736.0,121.0,17984008.0,0.0,284806757.0,62884687.0,45329236.0,578549334.0,325872.0,809397.0,104172433.0,0.0,2882883.0,163409.0,2125867901.0,715291.0,0.0,2029068.0,0.0,1233.0,120589.0,114613806.0,2295990439.0,0.0,515404667.0,106625475.0,472225398.0,0.0,11713288.0,11181264644.0,6129831.0,0.0,68190.0,1798102.0,73247.0,309758469.0,66552.0,0.0,0.0,320038073.0,861173123.0,542124440.0,47371312.0
arg,0.0,5.0,3654.0,0.0,180600.0,11483.0,1454419.0,22111362.0,26109220.0,3726.0,0.0,0.0,0.0,0.0,294817123.0,154074867.0,40961.0,0.0,273676706.0,0.0,0.0,6002829.0,9677533.0,15416660.0,4030376.0,633423.0,25022244.0,0.0,0.0,319823234.0,15958162966.0,15227.0,0.0,0.0,0.0,0.0,0.0,370254146.0,0.0,439351998.0,817215754.0,6569459848.0,1340423.0,67202.0,452.0,554805.0,0.0,134971910.0,13907.0,0.0,31195039.0,10806384.0,0.0,0.0,37904.0,125219973.0,2865335573.0,0.0,2707.0,126993364.0,2488178.0,116969.0,146139629.0,33159109.0,0.0,0.0,920701559.0,3387996.0,408040.0,112450067.0,27019.0,0.0,1380732469.0,0.0,0.0,313700.0,443803053.0,17958.0,318021.0,2218.0,508.0,0.0,0.0,0.0,5029328.0,0.0,0.0,4444683.0,0.0,118.0,31496960.0,0.0,103207.0,1453337.0,76193.0,65487323.0,280825993.0,509699410.0,0.0,154027610.0,21126431.0,7748.0,1280369.0,145603225.0,1154498819.0,8127.0,357073.0,1016613140.0,14832758.0,229126.0,5086.0,5803827.0,0.0,347759.0,866588527.0,1772353.0,22578.0,588161.0,0.0,7807199.0,7901.0,7046472.0,0.0,20970618.0,5167214.0,69258146.0,49489.0,94593750.0,4044.0,438465.0,0.0,1613048714.0,0.0,1617551.0,707.0,6820404.0,6801024.0,193.0,0.0,0.0,1591590.0,28178.0,0.0,188790.0,1189098.0,265791661.0,0.0,1331.0,0.0,543.0,0.0,2358976.0,162893.0,0.0,361678676.0,61499726.0,145791.0,0.0,14810465.0,10022688.0,44416914.0,129642.0,0.0,152170914.0,49712498.0,0.0,10544.0,110709231.0,0.0,87078620.0,399195929.0,82231.0,0.0,67739570.0,21022739.0,358843733.0,0.0,25755270.0,74001.0,8075.0,142463897.0,0.0,0.0,0.0,221160.0,354683.0,255277.0,41612.0,0.0,606887.0,223.0,0.0,64789931.0,10581887.0,175732599.0,7900.0,69040.0,825145.0,0.0,94962.0,0.0,568669177.0,3565.0,0.0,0.0,0.0,0.0,461767599.0,4559282.0,160959002.0,0.0,33161.0,457.0,58632550.0,0.0,523289302.0,5387574351.0,26465.0,0.0,1886.0,19326844.0,0.0,102625155.0,5185.0,0.0,0.0,715.0,135670560.0,23217.0,1202583.0
arm,0.0,16411.0,0.0,1196.0,199184.0,0.0,0.0,47549196.0,5915496.0,0.0,0.0,0.0,0.0,0.0,10639264.0,56464571.0,0.0,0.0,65597796.0,4847.0,0.0,531319.0,105898839.0,219322.0,12201.0,55662.0,28788559.0,0.0,0.0,89.0,46418120.0,0.0,0.0,0.0,0.0,0.0,4646.0,29032140.0,0.0,64240435.0,1057877.0,345917560.0,1272576.0,143664.0,815.0,0.0,0.0,3184314.0,220.0,3.0,765450.0,148948.0,0.0,0.0,1440138.0,17632114.0,142278850.0,0.0,0.0,8380394.0,241843.0,0.0,10094607.0,9632996.0,0.0,0.0,21438207.0,1129722.0,370999.0,10622809.0,0.0,0.0,64240769.0,0.0,82.0,25630.0,32512188.0,45633953.0,854759.0,0.0,0.0,85.0,0.0,0.0,47008004.0,4629.0,0.0,85900.0,0.0,402.0,1765370.0,0.0,143745.0,7530626.0,47957.0,20822460.0,25606793.0,41438280.0,0.0,3801845.0,198959976.0,76489.0,452255.0,12632381.0,110057804.0,517.0,56209.0,49838266.0,11547472.0,3770914.0,36746.0,119908.0,0.0,0.0,64194241.0,110338.0,5328.0,3803442.0,91.0,0.0,0.0,1380418.0,129.0,2560826.0,472300.0,3033950.0,0.0,642508.0,1309694.0,35715.0,0.0,3669106.0,0.0,206529.0,2117.0,10325.0,87610.0,0.0,3839.0,0.0,0.0,149246.0,0.0,35923.0,726517.0,12022940.0,0.0,106.0,0.0,501.0,0.0,181115.0,14273.0,0.0,27167933.0,2033010.0,19973.0,673.0,9722006.0,199861.0,3878036.0,20777.0,5464.0,45513.0,2426052.0,0.0,0.0,27622801.0,1911.0,3757221.0,287122.0,0.0,0.0,1016240.0,77039710.0,751531139.0,0.0,4671483.0,2156.0,0.0,4271687.0,0.0,0.0,0.0,2719.0,122482.0,399.0,0.0,0.0,1078501.0,0.0,32.0,8177805.0,7067104.0,35470880.0,0.0,100.0,3978962.0,60.0,0.0,146.0,29344930.0,186885.0,0.0,23132200.0,0.0,0.0,272.0,345448.0,191833460.0,0.0,60585.0,1748582.0,225576010.0,0.0,107517.0,154168751.0,5177851.0,0.0,0.0,0.0,52757.0,9332269.0,0.0,0.0,0.0,0.0,5126803.0,268.0,2510.0
asm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135414.0,0.0,0.0,0.0,0.0,0.0,0.0,4492528.0,38674.0,0.0,0.0,432487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397549.0,0.0,82316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7051.0,544580.0,0.0,0.0,118915.0,0.0,0.0,0.0,0.0,0.0,0.0,1256306.0,0.0,0.0,3349.0,0.0,0.0,839084.0,0.0,0.0,0.0,271849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713858.0,0.0,0.0,0.0,0.0,0.0,4920919.0,218181.0,0.0,0.0,0.0,0.0,0.0,0.0,155041.0,0.0,0.0,1718020.0,0.0,0.0,0.0,0.0,0.0,0.0,10017441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9284.0,62128.0,0.0,0.0,21737343.0,0.0,0.0,0.0,0.0,0.0,1357780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48019.0,0.0,0.0,0.0,0.0,0.0,0.0,1198356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229332.0,0.0,0.0
ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6665970.0,0.0,0.0,0.0,101791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14132627.0,0.0,0.0,28084.0,0.0,0.0,0.0,0.0,0.0,0.0,642747.0,0.0,0.0,0.0,0.0,0.0,1312304.0,0.0,0.0,0.0,454314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18569.0,0.0,0.0,0.0,245060.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,405768.0,0.0,64149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621883.0,0.0,0.0
