,abw,afg,ago,aia,alb,and,ant,are,arg,arm,asm,ata,atf,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bvt,bwa,caf,can,cck,che,chl,chn,civ,cmr,cod,cog,cok,col,com,cpv,cri,cub,cxr,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,ecu,egy,eri,esh,esp,est,eth,fin,fji,flk,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hkg,hmd,hnd,hrv,hti,hun,idn,ind,iot,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,kwt,lao,lbn,lbr,lby,lca,lka,lso,ltu,lux,lva,mac,mar,mda,mdg,mdv,mex,mhl,mkd,mli,mlt,mmr,mng,mnp,moz,mrt,msr,mus,mwi,mys,myt,nam,ncl,ner,nfk,nga,nic,niu,nld,nor,npl,nru,nzl,omn,pak,pan,pcn,per,phl,plw,png,pol,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sau,scg,sdn,sen,sgp,sgs,shn,slb,sle,slv,smr,som,spm,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkl,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umi,ury,usa,uzb,vat,vct,ven,vgb,vnm,vut,wlf,wsm,yem,zaf,zmb,zwe
abw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198059.0,0.0,0.0,4769919.0,0.0,0.0,0.0,0.0,0.0,168934.0,0.0,0.0,0.0,0.0,0.0,3534129.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4970171.0,0.0,6862527.0,0.0,0.0,0.0,0.0,0.0,13013964.0,0.0,0.0,51340.0,25916.0,0.0,0.0,17954.0,262637.0,5663000.0,0.0,0.0,1659118.0,0.0,0.0,15154.0,0.0,0.0,0.0,5629346.0,0.0,0.0,221670.0,0.0,0.0,5020703.0,0.0,0.0,0.0,41901360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223944.0,0.0,0.0,0.0,0.0,0.0,3253296.0,0.0,0.0,0.0,0.0,0.0,477597.0,0.0,0.0,220826.0,0.0,0.0,0.0,58000.0,9845979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6309878.0,0.0,0.0,28796.0,0.0,0.0,0.0,0.0,0.0,98214.0,6060.0,0.0,0.0,0.0,0.0,0.0,0.0,55404871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59493743.0,304688.0,0.0,0.0,0.0,0.0,0.0,37459.0,0.0,683839.0,557319.0,0.0,0.0,618000.0,0.0,157992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740906.0,0.0,63737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77427.0,0.0,1848593.0,0.0,0.0,0.0,0.0,0.0,0.0,1647424.0,0.0,0.0,0.0,0.0,0.0,344495.0,0.0,692443.0,0.0,0.0,0.0,0.0,0.0,15626.0,289183132.0,0.0,0.0,0.0,313630323.0,0.0,0.0,0.0,0.0,0.0,0.0,81893.0,0.0,0.0
afg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68016.0,661086.0,0.0,0.0,8422610.0,0.0,0.0,0.0,8503691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8656.0,0.0,0.0,0.0,0.0,0.0,0.0,107597.0,0.0,1030700.0,0.0,19891090.0,0.0,0.0,0.0,0.0,0.0,45343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680626.0,14016000.0,0.0,0.0,722256.0,0.0,0.0,0.0,0.0,0.0,0.0,274442.0,0.0,0.0,160387.0,0.0,0.0,5454850.0,0.0,0.0,0.0,4916575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384489.0,0.0,0.0,0.0,0.0,0.0,4234100.0,0.0,0.0,7579.0,0.0,0.0,6647549.0,23311179.0,0.0,1393197.0,0.0,0.0,0.0,0.0,1053251.0,0.0,0.0,51507256.0,0.0,0.0,0.0,0.0,0.0,0.0,84098125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,9396.0,0.0,0.0,0.0,0.0,0.0,0.0,129286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3673772.0,6460.0,0.0,0.0,3038.0,0.0,0.0,0.0,0.0,0.0,12690.0,0.0,0.0,2993000.0,0.0,557554.0,0.0,0.0,0.0,0.0,25000.0,11158588.0,0.0,0.0,0.0,0.0,0.0,6577542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616978.0,139409.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,2089719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8053165.0,0.0,0.0,0.0,0.0,0.0,0.0,8164110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6019.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11930544.0,0.0,0.0,0.0,0.0,0.0,766600.0,806616.0,0.0,0.0,91579896.0,0.0,0.0,0.0,269936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106281536.0,0.0,0.0,0.0,0.0,0.0,0.0,4747776.0,0.0,4724710.0,0.0,33735509.0,0.0,0.0,0.0,0.0,0.0,353156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906009.0,28580000.0,0.0,0.0,9489453.0,0.0,0.0,0.0,0.0,0.0,0.0,65079889.0,24724.0,0.0,1880877.0,0.0,0.0,114468414.0,0.0,0.0,0.0,115306543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273761.0,0.0,0.0,0.0,0.0,0.0,19255219.0,0.0,0.0,200.0,0.0,408000.0,18347415.0,11337585.0,0.0,3057411.0,0.0,0.0,0.0,0.0,64133446.0,0.0,0.0,25423546.0,0.0,0.0,0.0,0.0,0.0,0.0,16637325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56155.0,105819.0,0.0,0.0,0.0,0.0,0.0,0.0,395719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73205705.0,70837989.0,0.0,0.0,1200765.0,0.0,0.0,0.0,0.0,0.0,903836.0,0.0,0.0,755000.0,0.0,342142188.0,0.0,0.0,0.0,0.0,59000.0,10286808.0,0.0,0.0,0.0,0.0,0.0,26099662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000738.0,113586.0,17648813.0,0.0,0.0,0.0,0.0,0.0,0.0,15075352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4808630.0,0.0,0.0,0.0,0.0,0.0,0.0,226005500.0,0.0,0.0,0.0,25884.0,0.0,0.0,0.0,0.0,0.0,0.0,197313604.0,0.0,0.0
aia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56271.0,0.0,67715.0,0.0,0.0,252255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43229.0,212376.0,0.0,0.0,0.0,0.0,0.0,436275.0,0.0,75969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000.0,0.0,11616.0,77822.0,0.0,0.0,0.0,0.0,0.0,0.0,176585.0,0.0,0.0,5054421.0,0.0,0.0,872228.0,0.0,0.0,0.0,4511843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79135.0,0.0,0.0,0.0,0.0,21641.0,0.0,0.0,0.0,0.0,0.0,0.0,131316.0,0.0,0.0,0.0,0.0,0.0,0.0,114000.0,831140.0,25296.0,0.0,1021677.0,0.0,0.0,0.0,0.0,0.0,108295.0,285015.0,0.0,0.0,0.0,0.0,0.0,36497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834916.0,0.0,35722.0,0.0,0.0,0.0,0.0,0.0,0.0,29790332.0,0.0,0.0,1504.0,103470.0,0.0,0.0,0.0,0.0,0.0,0.0,31474.0,0.0,0.0
alb,0.0,0.0,0.0,0.0,0.0,508.0,122653.0,1079112.0,144652.0,132134.0,0.0,0.0,0.0,0.0,766145.0,12194391.0,7157.0,0.0,5240306.0,0.0,0.0,0.0,23758301.0,0.0,0.0,83376.0,6215161.0,0.0,0.0,14427.0,1120550.0,0.0,0.0,0.0,0.0,0.0,568.0,2451915.0,0.0,12429494.0,0.0,15914937.0,18029.0,0.0,0.0,0.0,0.0,917161.0,0.0,0.0,41648.0,0.0,0.0,0.0,2878660.0,5663637.0,60827870.0,0.0,0.0,4145191.0,0.0,0.0,2785701.0,1919185.0,0.0,0.0,11549371.0,37925.0,0.0,6430659.0,0.0,0.0,18605294.0,0.0,0.0,0.0,11622104.0,163516.0,0.0,1336.0,0.0,0.0,0.0,0.0,263045573.0,0.0,0.0,0.0,0.0,0.0,630150.0,0.0,0.0,13331065.0,988.0,10081281.0,1927822.0,3159899.0,28604.0,1905595.0,321804.0,0.0,0.0,158067.0,348944991.0,8183.0,43922.0,3762341.0,0.0,33971.0,0.0,0.0,0.0,0.0,1812021.0,18654.0,0.0,198638.0,0.0,255195.0,0.0,0.0,0.0,0.0,181106.0,19388.0,0.0,43695.0,55956.0,0.0,0.0,224135.0,0.0,21924456.0,0.0,603004.0,2533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8890244.0,5090772.0,0.0,0.0,77998.0,0.0,0.0,264425.0,0.0,0.0,29582.0,0.0,0.0,804725.0,249450.0,154420.0,0.0,0.0,0.0,0.0,7416603.0,20489255.0,0.0,819956.0,9235485.0,2721.0,0.0,383079.0,0.0,0.0,0.0,0.0,0.0,0.0,2872.0,0.0,0.0,19936.0,356439.0,12582130.0,973683.0,0.0,680.0,2396447.0,0.0,0.0,0.0,1810300.0,0.0,0.0,0.0,0.0,0.0,10397.0,358558.0,53162497.0,0.0,0.0,0.0,2845259.0,0.0,0.0,19695908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110790.0,0.0,0.0
and,0.0,33185.0,0.0,0.0,47742.0,0.0,423.0,194.0,27427.0,0.0,0.0,0.0,0.0,0.0,154610.0,5135651.0,524.0,0.0,5532382.0,0.0,10399.0,86074.0,49145.0,0.0,42327.0,3446.0,1618.0,5.0,0.0,129.0,126726.0,0.0,0.0,1372.0,0.0,25.0,13056.0,273742.0,0.0,19128342.0,24945.0,10124258.0,0.0,1983.0,2774.0,0.0,0.0,130284.0,0.0,0.0,83582.0,1885065.0,0.0,0.0,0.0,680075.0,40806406.0,0.0,202590.0,914396.0,341498.0,3335.0,1530.0,2728.0,0.0,0.0,452181403.0,427.0,2397.0,330002.0,0.0,0.0,246338231.0,0.0,0.0,0.0,23586916.0,22134.0,0.0,2101.0,246388.0,0.0,0.0,0.0,607208.0,126.0,49.0,2713.0,0.0,0.0,1734582.0,0.0,47097.0,29191.0,3788.0,1308350.0,931269.0,386429.0,0.0,1403389.0,107103.0,0.0,38802.0,546896.0,37564287.0,11088.0,6203.0,28246544.0,0.0,2056.0,0.0,6246.0,0.0,25.0,6141447.0,0.0,721.0,695.0,0.0,0.0,0.0,239297.0,0.0,29.0,664187.0,5.0,123632.0,171375.0,1493.0,1772.0,0.0,465665.0,0.0,222.0,230422.0,5444.0,26085.0,25914.0,5.0,2501.0,20236.0,0.0,28421.0,0.0,2892894.0,0.0,1700.0,0.0,0.0,0.0,299.0,52232.0,0.0,9841861.0,168859.0,31542.0,0.0,25386.0,0.0,189433.0,142026.0,0.0,6964.0,1055480.0,0.0,0.0,1275067.0,140902.0,3432828.0,89.0,0.0,31628.0,0.0,310650.0,33734.0,0.0,0.0,14442.0,0.0,219.0,857861.0,0.0,722.0,0.0,0.0,23816.0,30522.0,0.0,192.0,19.0,0.0,529908.0,196019.0,987954.0,0.0,0.0,0.0,0.0,0.0,0.0,3331769.0,182.0,0.0,10247.0,0.0,0.0,2292.0,551773.0,216707.0,0.0,2292.0,40414.0,1495.0,0.0,7315.0,17420829.0,0.0,0.0,0.0,3855.0,0.0,381413.0,0.0,0.0,5180.0,0.0,590466.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155778.0,5204986.0,0.0,0.0,8525869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83665097.0,0.0,0.0,0.0,0.0,0.0,0.0,17337442.0,0.0,13238119.0,0.0,33281215.0,0.0,0.0,0.0,0.0,0.0,52600543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140625.0,86976000.0,0.0,0.0,5281501.0,0.0,0.0,0.0,0.0,0.0,0.0,37873152.0,95881.0,0.0,19295177.0,0.0,0.0,38795210.0,0.0,0.0,0.0,50354343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937869.0,0.0,0.0,0.0,0.0,0.0,51003608.0,0.0,0.0,61.0,0.0,536000.0,13196849.0,14009091.0,0.0,1935056.0,0.0,0.0,0.0,2352000.0,155386764.0,0.0,0.0,67819551.0,0.0,0.0,0.0,0.0,0.0,0.0,1332011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,58520.0,0.0,0.0,0.0,0.0,0.0,0.0,870967519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146316588.0,2179155.0,0.0,0.0,430957.0,0.0,0.0,0.0,0.0,0.0,349438.0,0.0,0.0,0.0,0.0,938419.0,0.0,0.0,0.0,0.0,36000.0,1995977.0,0.0,0.0,0.0,0.0,0.0,10137325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73246.0,19934.0,5172128.0,0.0,0.0,0.0,0.0,0.0,0.0,7047204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14629855.0,0.0,0.0,0.0,0.0,0.0,0.0,673970983.0,0.0,0.0,0.0,1735809354.0,0.0,0.0,0.0,0.0,0.0,0.0,974270.0,0.0,0.0
are,0.0,1176496.0,88920.0,5553.0,0.0,0.0,64940.0,0.0,83417779.0,2967822.0,0.0,0.0,0.0,1047.0,641037421.0,107492552.0,1426976.0,0.0,416538160.0,0.0,4750.0,8948861.0,6268795.0,109305963.0,517119.0,68277.0,2528.0,79522.0,13737.0,615067.0,238415089.0,22908.0,236436.0,0.0,0.0,38811.0,17887.0,266051199.0,0.0,339835711.0,26407723.0,2087733884.0,3152417.0,1220661.0,274480.0,185007.0,0.0,2587381.0,1582.0,19103.0,330029.0,20866.0,0.0,37134.0,10051462.0,66868745.0,2115247140.0,395118.0,155827.0,135207465.0,0.0,257830.0,507681.0,83023859.0,213785.0,0.0,323102815.0,1606275.0,2296150.0,203564359.0,0.0,0.0,2666374496.0,0.0,0.0,55195.0,2216772277.0,1536510.0,1150403.0,0.0,288587.0,0.0,0.0,14554.0,49734614.0,0.0,43557.0,14922018.0,0.0,0.0,372314118.0,0.0,51713.0,3726360.0,5145.0,13704558.0,618195392.0,1780002432.0,0.0,157553529.0,333921371.0,63800.0,523650.0,1123000.0,1428332356.0,468136.0,88493693.0,3135278617.0,628571.0,16623842.0,0.0,373128.0,110709.0,0.0,1536534871.0,68065956.0,241992.0,86258396.0,32699.0,403864.0,0.0,93293951.0,3041.0,1576141.0,15061732.0,43610.0,288373.0,6520946.0,0.0,577853.0,40915.0,74235151.0,0.0,926169.0,0.0,6669611.0,7392857.0,5699.0,0.0,324709.0,1113962.0,0.0,0.0,0.0,475835801.0,0.0,2825.0,0.0,243704.0,0.0,852999.0,190271.0,0.0,763625425.0,60782771.0,161188.0,2964.0,47187671.0,6190354.0,255169229.0,1092292.0,0.0,9264817.0,57348081.0,0.0,632606.0,28515770.0,151431.0,25665823.0,39054.0,0.0,0.0,86392898.0,60105903.0,90029636.0,33928.0,820768237.0,791585.0,4927876.0,682194.0,688188423.0,0.0,0.0,623.0,1553242.0,59327.0,0.0,22418818.0,0.0,0.0,14100.0,8189753.0,14230763.0,268674429.0,4201025.0,2639.0,53730994.0,41016.0,0.0,39191.0,487438129.0,121766.0,0.0,3507193.0,0.0,1791.0,726800.0,4137423.0,290196306.0,0.0,5550377.0,659340.0,0.0,0.0,807441.0,2429020284.0,1786692.0,0.0,0.0,13671874.0,0.0,32971182.0,0.0,0.0,0.0,10065805.0,100905182.0,230286.0,5473383.0
arg,0.0,0.0,13931678.0,0.0,1985.0,74818.0,0.0,2592367.0,0.0,429.0,0.0,0.0,0.0,0.0,65989123.0,92621241.0,0.0,0.0,221032002.0,0.0,78.0,3023851.0,3769512.0,2866996.0,552799.0,266200.0,177804.0,0.0,0.0,18291101.0,5896842985.0,21895.0,0.0,0.0,0.0,14515.0,0.0,304879857.0,0.0,211236380.0,554715316.0,1038027342.0,44688883.0,20281.0,84.0,10727485.0,0.0,58996304.0,16471.0,0.0,4172199.0,3206284.0,0.0,0.0,124364.0,16357584.0,1133780018.0,1106.0,0.0,85085797.0,1166933.0,35186589.0,118013644.0,9518370.0,0.0,0.0,835815239.0,350930.0,1264.0,123842292.0,1832.0,0.0,916959918.0,0.0,0.0,372.0,444455119.0,3966306.0,22970.0,0.0,58.0,0.0,0.0,0.0,15124712.0,627850.0,0.0,964920.0,0.0,427527.0,57590810.0,0.0,507219.0,1081697.0,20182.0,28700746.0,101858275.0,134971929.0,0.0,78720848.0,2304301.0,123.0,144305.0,108025479.0,968983675.0,51067.0,0.0,902962239.0,6887609.0,473103.0,12955.0,204841.0,0.0,338.0,479357663.0,102724.0,18611.0,139849.0,0.0,2267888.0,0.0,6384656.0,0.0,12485849.0,6730950.0,18513749.0,3029050.0,3602771.0,0.0,574926.0,4504.0,525941659.0,0.0,0.0,417.0,446547.0,2997152.0,1438.0,0.0,598.0,3120.0,0.0,566037.0,985928.0,169056946.0,0.0,497394.0,0.0,0.0,0.0,180141897.0,1931.0,0.0,153063662.0,24311561.0,44786.0,0.0,14825188.0,145.0,27709346.0,1477536.0,0.0,25791263.0,23632851.0,0.0,3374.0,28265221.0,0.0,43426928.0,268699220.0,0.0,0.0,9797851.0,7684809.0,101914495.0,0.0,24044674.0,459881.0,54517.0,1391.0,103895919.0,0.0,0.0,0.0,0.0,82264.0,0.0,0.0,0.0,0.0,416.0,14401662.0,4559746.0,288888803.0,6205.0,0.0,351318.0,0.0,100576.0,277.0,121803607.0,0.0,0.0,0.0,0.0,0.0,6345448.0,18268470.0,38900968.0,0.0,7018.0,371709.0,13757822.0,0.0,391436939.0,4298971875.0,136.0,0.0,0.0,27450402.0,0.0,10210383.0,0.0,0.0,0.0,0.0,99471337.0,26934.0,1870790.0
arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10073940.0,32946.0,0.0,0.0,0.0,0.0,0.0,369075.0,2811827.0,0.0,0.0,81915645.0,0.0,0.0,0.0,6347453.0,0.0,0.0,0.0,308835.0,0.0,0.0,0.0,1520565.0,0.0,0.0,0.0,0.0,0.0,0.0,1374792.0,0.0,2768093.0,0.0,1143203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117765.0,9218616.0,29964000.0,0.0,0.0,1295284.0,0.0,0.0,0.0,559.0,0.0,0.0,3200883.0,278669.0,0.0,1728829.0,0.0,0.0,12696572.0,0.0,0.0,0.0,5851520.0,9722902.0,0.0,0.0,0.0,0.0,0.0,0.0,44628744.0,0.0,0.0,0.0,0.0,0.0,1257047.0,0.0,0.0,51260.0,0.0,1710000.0,396369.0,775830.0,0.0,392270.0,24333974.0,0.0,0.0,1976000.0,28188889.0,0.0,3020.0,1572991.0,141085.0,0.0,0.0,0.0,0.0,0.0,910718.0,0.0,0.0,74234.0,0.0,0.0,0.0,0.0,0.0,2650541.0,0.0,226433.0,0.0,0.0,154631.0,0.0,0.0,11746.0,0.0,24919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5248778.0,21768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276000.0,0.0,292133.0,0.0,0.0,0.0,0.0,298000.0,27467897.0,0.0,0.0,122780.0,0.0,0.0,311665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503106.0,940697.0,5303190.0,0.0,0.0,0.0,0.0,0.0,0.0,94949.0,0.0,0.0,727975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6342214.0,0.0,0.0,57089002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296082.0,0.0,0.0
asm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59226717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2935157.0,155967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6627715.0,0.0,0.0,0.0,0.0,0.0,0.0,3275925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20829636.0,0.0,0.0,0.0,0.0,0.0,1380545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17430.0,0.0,0.0
ata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903742.0,0.0,0.0,26732.0,0.0,0.0,0.0,0.0,0.0,0.0,5804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42312.0,0.0,0.0
atf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4226890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,64490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
