,afg,ago,alb,are,arg,aus,aut,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,blz,bmu,bol,bra,brb,caf,can,che,chl,chn,civ,cmr,cod,cog,col,cri,csk,cub,cyp,ddr,dji,dnk,dom,dza,ecu,egy,esp,eth,fdr,fin,fio,fji,flk,fra,gab,gbr,gha,gib,gin,glp,gmb,gnb,gnq,grc,grl,gtm,guf,guy,hkg,hnd,hti,hun,idn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,ken,khm,kir,kna,kor,kwt,lao,lbn,lbr,lby,lka,mac,mar,mdg,mex,mli,mlt,mmr,mng,moz,mrt,mus,mwi,mys,naa,ncl,ner,nga,nic,nld,nor,npl,nzl,omn,pak,pan,per,phl,png,pol,prk,prt,pry,qat,rou,rwa,sau,sdn,sen,sgp,shn,sle,slv,som,spm,sun,sur,swe,syc,syr,tcd,tgo,tha,tto,tun,tur,twn,tza,uga,ury,usa,ven,vnm,wsm,yar,ymd,yug,zaf,zmb,zwe
afg,0.0,0.0,0.0,0.0,0.0,62000.0,714000.0,0.0,2596000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,296000.0,716000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286000.0,0.0,0.0,0.0,0.0,839000.0,0.0,27926000.0,748000.0,0.0,0.0,0.0,19741000.0,0.0,15280000.0,0.0,0.0,0.0,106000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,3189000.0,0.0,0.0,0.0,53000.0,0.0,981000.0,0.0,0.0,0.0,0.0,9451000.0,0.0,0.0,103813000.0,0.0,0.0,0.0,0.0,16882000.0,1655000.0,0.0,0.0,0.0,0.0,2969000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817000.0,0.0,0.0,0.0,0.0,0.0,2044000.0,231000.0,0.0,9000.0,0.0,22997000.0,0.0,0.0,0.0,0.0,1110000.0,0.0,157000.0,0.0,0.0,0.0,0.0,70000.0,0.0,0.0,16944000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119000.0,0.0,0.0,0.0,0.0,1064000.0,0.0,0.0,129000.0,0.0,0.0,0.0,0.0,9666000.0,0.0,0.0,0.0,0.0,0.0,3171000.0,0.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,26905000.0,27000.0,3754000.0,0.0,27983000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118681000.0,0.0,0.0,2036000.0,31408000.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,46344000.0,0.0,0.0,0.0,13074000.0,0.0,0.0,0.0,0.0,45852000.0,0.0,101822000.0,83000.0,0.0,0.0,0.0,93302000.0,0.0,64323000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381000.0,0.0,0.0,0.0,0.0,3901000.0,0.0,0.0,0.0,0.0,0.0,142000.0,0.0,0.0,0.0,0.0,66005000.0,0.0,0.0,83124000.0,113000.0,0.0,0.0,0.0,7806000.0,0.0,0.0,0.0,0.0,0.0,0.0,422000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,72985000.0,6499000.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,1365000.0,0.0,177917000.0,0.0,0.0,0.0,0.0,4000.0,0.0,61000.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,65515000.0,0.0,0.0,0.0,0.0,20111000.0,0.0,144000.0,0.0,0.0,0.0,0.0,738000.0,105146000.0,0.0,0.0,0.0,0.0,0.0,30593000.0,0.0,0.0,0.0
alb,0.0,0.0,0.0,0.0,1000.0,214000.0,6755000.0,0.0,2177000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86000.0,3212000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256000.0,0.0,3324000.0,0.0,0.0,898000.0,0.0,20234000.0,85000.0,0.0,0.0,0.0,5149000.0,0.0,3419000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28563000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,23029000.0,0.0,0.0,1619000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4122000.0,15000.0,0.0,0.0,0.0,181000.0,0.0,0.0,0.0,0.0,6659000.0,0.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9653000.0,0.0,0.0,0.0,0.0,6777000.0,0.0,0.0,0.0,0.0,0.0,62199000.0,0.0,0.0,0.0
are,0.0,0.0,0.0,0.0,64000.0,89296000.0,24988000.0,0.0,108837000.0,0.0,0.0,0.0,0.0,654781000.0,0.0,0.0,0.0,0.0,28781000.0,0.0,0.0,39072000.0,103416000.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,14178000.0,0.0,0.0,46388000.0,0.0,0.0,0.0,0.0,50475000.0,0.0,363195000.0,9567000.0,0.0,0.0,0.0,466621000.0,0.0,1099563000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581000.0,0.0,0.0,0.0,0.0,107419000.0,0.0,0.0,0.0,0.0,0.0,16379000.0,0.0,0.0,14000.0,0.0,431014000.0,3000.0,5690000.0,1355879000.0,5111000.0,0.0,0.0,0.0,189330000.0,410373000.0,0.0,0.0,0.0,0.0,1032000.0,2236000.0,227000.0,0.0,0.0,0.0,1142000.0,0.0,0.0,0.0,0.0,0.0,0.0,36797000.0,0.0,0.0,0.0,0.0,0.0,168869000.0,13811000.0,9000.0,15319000.0,54525000.0,122392000.0,0.0,0.0,81000.0,0.0,577000.0,0.0,1643000.0,0.0,0.0,0.0,0.0,36552000.0,0.0,0.0,283356000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65980000.0,26000.0,0.0,0.0,0.0,112284000.0,7000.0,328000.0,0.0,0.0,0.0,0.0,0.0,979420000.0,0.0,0.0,0.0,218000.0,0.0,0.0,0.0,0.0,0.0
arg,0.0,21339000.0,52000.0,0.0,0.0,83702000.0,46242000.0,0.0,160814000.0,0.0,0.0,824000.0,7029000.0,0.0,1223000.0,0.0,941000.0,252429000.0,1072342000.0,0.0,0.0,109766000.0,215802000.0,254146000.0,32266000.0,196000.0,520000.0,210000.0,20007000.0,52144000.0,2037000.0,16589000.0,302000.0,3000.0,14607000.0,0.0,42838000.0,158000.0,5994000.0,61119000.0,35000.0,398895000.0,0.0,984694000.0,75449000.0,0.0,0.0,0.0,374431000.0,18000.0,343376000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821000.0,0.0,156000.0,0.0,1679000.0,110993000.0,534000.0,4000.0,6087000.0,160000.0,6487000.0,10665000.0,5000.0,127526000.0,11000.0,17555000.0,576874000.0,3000.0,0.0,977201000.0,1000.0,0.0,0.0,109000.0,50501000.0,5709000.0,0.0,23000.0,0.0,5913000.0,1632000.0,297000.0,1000.0,29000.0,71739000.0,0.0,134000.0,0.0,0.0,0.0,0.0,0.0,0.0,2829000.0,11872000.0,0.0,0.0,37445000.0,89000.0,232621000.0,23613000.0,1000.0,9905000.0,0.0,812000.0,90830000.0,69564000.0,1832000.0,0.0,22195000.0,0.0,6736000.0,84510000.0,0.0,13566000.0,0.0,338712000.0,11000.0,18000.0,50739000.0,0.0,0.0,43000.0,0.0,0.0,14589000.0,0.0,139882000.0,0.0,65000.0,0.0,0.0,132000.0,4889000.0,1347000.0,1742000.0,98027000.0,305000.0,0.0,147866000.0,2379183000.0,71498000.0,0.0,0.0,0.0,0.0,2630000.0,53399000.0,0.0,17000.0
aus,1040000.0,0.0,7000.0,173654000.0,7668000.0,28926000.0,49605000.0,0.0,150194000.0,0.0,1000.0,26815000.0,2860000.0,120438000.0,4374000.0,230000.0,0.0,234000.0,104936000.0,86000.0,0.0,543673000.0,191098000.0,5685000.0,239367000.0,7529000.0,2000.0,487000.0,0.0,2697000.0,699000.0,23899000.0,496000.0,654000.0,11304000.0,0.0,72322000.0,13000.0,0.0,1686000.0,159000.0,65731000.0,457000.0,1180894000.0,130778000.0,126000.0,86492000.0,0.0,344278000.0,462000.0,1853203000.0,17370000.0,1000.0,4000.0,35000.0,1000.0,0.0,0.0,18287000.0,6000.0,666000.0,0.0,1737000.0,439633000.0,6366000.0,249000.0,7883000.0,384916000.0,129066000.0,54155000.0,79855000.0,199844000.0,271000.0,45979000.0,503023000.0,2750000.0,910000.0,3373371000.0,5349000.0,345000.0,1672000.0,1000.0,190150000.0,291711000.0,0.0,255000.0,9000.0,0.0,12565000.0,1536000.0,1342000.0,6106000.0,18416000.0,0.0,1363000.0,6102000.0,0.0,1627000.0,0.0,679000.0,4666000.0,216663000.0,23200000.0,1240000.0,0.0,92000.0,228000.0,222025000.0,46494000.0,189000.0,673899000.0,1000.0,20478000.0,188000.0,2085000.0,92704000.0,87591000.0,19166000.0,169000.0,17977000.0,34000.0,29677000.0,11660000.0,0.0,939143000.0,329000.0,0.0,595041000.0,2000.0,1000.0,414000.0,23000.0,0.0,8885000.0,0.0,351759000.0,18000.0,11000.0,0.0,0.0,68867000.0,369000.0,30000.0,4389000.0,532981000.0,7358000.0,13077000.0,514000.0,4308264000.0,254000.0,184000.0,776000.0,0.0,1000.0,11707000.0,120840000.0,403000.0,22000.0
aut,4465000.0,438000.0,6720000.0,26019000.0,24132000.0,39043000.0,0.0,1854000.0,507119000.0,11000.0,3000.0,330000.0,45939000.0,15000.0,362000.0,323000.0,348000.0,1381000.0,153060000.0,103000.0,51000.0,114322000.0,1217440000.0,22332000.0,33026000.0,19427000.0,7896000.0,603000.0,143000.0,41615000.0,18502000.0,452279000.0,5225000.0,5095000.0,164942000.0,24000.0,167208000.0,1671000.0,143078000.0,19310000.0,29059000.0,99248000.0,1316000.0,9960627000.0,112723000.0,35000.0,12000.0,28000.0,962747000.0,1228000.0,671648000.0,7678000.0,0.0,2017000.0,6000.0,206000.0,208000.0,0.0,51335000.0,127000.0,12258000.0,1000.0,384000.0,124093000.0,16594000.0,428000.0,337084000.0,17634000.0,30494000.0,45205000.0,30431000.0,543548000.0,1692000.0,59050000.0,2218785000.0,474000.0,6000.0,589885000.0,8106000.0,0.0,16000.0,75000.0,68573000.0,11193000.0,0.0,1641000.0,2798000.0,310460000.0,4747000.0,5154000.0,6126000.0,982000.0,20484000.0,12000.0,2243000.0,96000.0,26000.0,3154000.0,108000.0,60000.0,543000.0,64928000.0,579000.0,4792000.0,9000.0,133733000.0,9393000.0,658646000.0,82591000.0,71000.0,11968000.0,1000.0,9181000.0,14133000.0,20000000.0,28136000.0,999000.0,240216000.0,591000.0,64776000.0,8607000.0,0.0,106173000.0,365000.0,458641000.0,1528000.0,554000.0,25143000.0,0.0,48000.0,21028000.0,10000.0,0.0,1023548000.0,56000.0,443235000.0,5000.0,2063000.0,483000.0,46000.0,18620000.0,954000.0,9913000.0,60844000.0,69362000.0,3158000.0,138000.0,10911000.0,825935000.0,37800000.0,232000.0,14000.0,0.0,1104000.0,198564000.0,108742000.0,5951000.0,5394000.0
bdi,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,21078000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,0.0,1258000.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,0.0,373000.0,0.0,0.0,0.0,0.0,997000.0,0.0,13015000.0,14000.0,2000.0,0.0,0.0,11649000.0,0.0,1289000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,963000.0,0.0,0.0,0.0,0.0,0.0,44000.0,0.0,0.0,0.0,124000.0,3905000.0,0.0,0.0,9638000.0,19060000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,5818000.0,243000.0,0.0,0.0,57000.0,22000.0,0.0,0.0,0.0,0.0,7000.0,0.0,159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10136000.0,0.0,0.0,2443000.0,0.0,0.0,0.0,0.0,0.0,146000.0,0.0,0.0,0.0
bel,4981000.0,9861000.0,456000.0,315498000.0,155426000.0,220464000.0,270393000.0,10042000.0,0.0,76000.0,169000.0,18812000.0,22997000.0,9975000.0,58464000.0,84000.0,123000.0,57055000.0,308266000.0,297000.0,23433000.0,531768000.0,1698048000.0,224255000.0,190089000.0,57140000.0,36643000.0,1213025000.0,45668000.0,58276000.0,12086000.0,78109000.0,39300000.0,5967000.0,144602000.0,0.0,333575000.0,24865000.0,207638000.0,11727000.0,55113000.0,616508000.0,4325000.0,14039938000.0,217808000.0,211000.0,946000.0,4000.0,10358273000.0,33488000.0,5722918000.0,24233000.0,175000.0,958000.0,1265000.0,53000.0,477000.0,68000.0,108976000.0,52000.0,14788000.0,359000.0,1603000.0,249952000.0,11162000.0,10902000.0,37101000.0,86544000.0,226932000.0,268445000.0,271494000.0,425544000.0,9770000.0,235639000.0,2572435000.0,2165000.0,4586000.0,1432609000.0,16131000.0,0.0,51000.0,2685000.0,102851000.0,236410000.0,2000.0,5966000.0,72660000.0,59368000.0,4752000.0,5384000.0,139832000.0,4625000.0,37773000.0,4953000.0,26011000.0,12415000.0,146000.0,5563000.0,24311000.0,10844000.0,3350000.0,122322000.0,11089000.0,74000.0,654000.0,434638000.0,9238000.0,11720872000.0,599316000.0,413000.0,108588000.0,12130000.0,34168000.0,16181000.0,89930000.0,41695000.0,15155000.0,191113000.0,258000.0,157573000.0,8006000.0,137860000.0,39520000.0,11066000.0,4142171000.0,6691000.0,4486000.0,72924000.0,0.0,12844000.0,6037000.0,1354000.0,145000.0,1103961000.0,3483000.0,1044262000.0,1000.0,15018000.0,2412000.0,21915000.0,107181000.0,13789000.0,70610000.0,74243000.0,128505000.0,20771000.0,2493000.0,15854000.0,5479873000.0,226362000.0,28000.0,0.0,41000.0,88000.0,67936000.0,445040000.0,57386000.0,8029000.0
ben,0.0,0.0,0.0,0.0,1084000.0,0.0,96901000.0,0.0,17219000.0,0.0,219000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023000.0,0.0,0.0,2917000.0,8266000.0,0.0,0.0,0.0,59000.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,10712000.0,943000.0,7011000.0,0.0,25000.0,11609000.0,0.0,15709000.0,704000.0,0.0,0.0,0.0,134622000.0,0.0,30497000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,5733000.0,0.0,0.0,0.0,0.0,0.0,97000.0,0.0,0.0,0.0,0.0,55401000.0,0.0,0.0,22028000.0,9000.0,0.0,0.0,0.0,1746000.0,0.0,0.0,0.0,21000.0,0.0,0.0,46000.0,335000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480000.0,0.0,0.0,0.0,0.0,0.0,0.0,31249000.0,4092000.0,0.0,6000.0,0.0,523000.0,0.0,0.0,196000.0,0.0,109000.0,0.0,168000.0,0.0,0.0,0.0,0.0,8000.0,0.0,1092000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652000.0,0.0,0.0,0.0,0.0,95000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,13347000.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0
bfa,0.0,0.0,0.0,0.0,90000.0,18000.0,1055000.0,0.0,10649000.0,24000.0,0.0,60000.0,0.0,31000.0,0.0,0.0,0.0,0.0,406000.0,0.0,0.0,2806000.0,1719000.0,0.0,6955000.0,41231000.0,959000.0,7000.0,0.0,591000.0,0.0,746000.0,0.0,0.0,916000.0,0.0,693000.0,0.0,113000.0,0.0,385000.0,2454000.0,0.0,16670000.0,93000.0,0.0,0.0,0.0,140597000.0,0.0,6321000.0,2522000.0,0.0,0.0,1000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0,14000.0,1000.0,245000.0,83000.0,6000.0,0.0,0.0,192000.0,6157000.0,9000.0,0.0,13242000.0,22000.0,0.0,0.0,5000.0,404000.0,0.0,0.0,128000.0,17000.0,0.0,5000.0,0.0,284000.0,3000.0,1000.0,2352000.0,3000.0,0.0,1000.0,0.0,0.0,0.0,17000.0,61000.0,237000.0,5000.0,229000.0,1123000.0,0.0,13755000.0,157000.0,0.0,0.0,0.0,5492000.0,11000.0,0.0,23000.0,0.0,87000.0,45000.0,148000.0,124000.0,0.0,248000.0,0.0,601000.0,0.0,2966000.0,18000.0,0.0,10000.0,0.0,0.0,1000.0,516000.0,0.0,460000.0,0.0,0.0,0.0,5807000.0,5000.0,185000.0,24000.0,13000.0,3959000.0,0.0,0.0,2000.0,32324000.0,933000.0,2000.0,0.0,0.0,0.0,23000.0,0.0,0.0,0.0
bgd,0.0,0.0,0.0,0.0,0.0,48373000.0,1413000.0,0.0,26956000.0,0.0,0.0,0.0,0.0,6183000.0,0.0,0.0,0.0,0.0,6349000.0,0.0,0.0,63848000.0,8778000.0,0.0,0.0,0.0,0.0,0.0,0.0,895000.0,0.0,0.0,0.0,0.0,0.0,0.0,11918000.0,0.0,0.0,0.0,2709000.0,7067000.0,0.0,62566000.0,1296000.0,0.0,0.0,0.0,50114000.0,0.0,137460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470000.0,0.0,0.0,0.0,0.0,4329000.0,0.0,0.0,0.0,8837000.0,0.0,2424000.0,0.0,0.0,0.0,0.0,15180000.0,0.0,4702000.0,326637000.0,429000.0,0.0,0.0,0.0,76835000.0,2268000.0,0.0,0.0,0.0,0.0,3964000.0,0.0,10894000.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,42548000.0,0.0,0.0,0.0,0.0,0.0,29535000.0,5230000.0,5292000.0,3022000.0,3000.0,54607000.0,0.0,0.0,12218000.0,0.0,4842000.0,0.0,111000.0,0.0,0.0,0.0,0.0,124212000.0,0.0,4189000.0,249562000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18033000.0,0.0,0.0,0.0,0.0,10804000.0,0.0,8891000.0,252000.0,0.0,0.0,0.0,0.0,287172000.0,0.0,0.0,0.0,0.0,0.0,15462000.0,0.0,0.0,0.0
bgr,0.0,0.0,0.0,0.0,7610000.0,1309000.0,117873000.0,0.0,60462000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15135000.0,0.0,0.0,6298000.0,71477000.0,0.0,0.0,0.0,0.0,0.0,0.0,4579000.0,0.0,0.0,147571000.0,2672000.0,0.0,0.0,10548000.0,0.0,1854000.0,0.0,12785000.0,38250000.0,8000.0,456831000.0,16302000.0,0.0,0.0,0.0,169863000.0,0.0,80828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62876000.0,0.0,0.0,0.0,0.0,1172000.0,0.0,0.0,27000.0,701000.0,0.0,5092000.0,0.0,0.0,21000.0,6156000.0,164037000.0,0.0,3757000.0,65311000.0,3000.0,0.0,0.0,0.0,565000.0,146000.0,0.0,0.0,0.0,92740000.0,90000.0,170000.0,16262000.0,0.0,0.0,0.0,336000.0,0.0,0.0,0.0,0.0,0.0,0.0,13309000.0,0.0,0.0,0.0,0.0,0.0,34820000.0,3902000.0,1913000.0,614000.0,0.0,4864000.0,0.0,7310000.0,0.0,0.0,72774000.0,0.0,5892000.0,0.0,0.0,0.0,0.0,0.0,37000.0,0.0,18179000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39572000.0,0.0,0.0,0.0,0.0,11000.0,0.0,5959000.0,12386000.0,0.0,40000.0,0.0,0.0,158342000.0,0.0,0.0,0.0,0.0,0.0,108864000.0,0.0,0.0,0.0
bhr,0.0,0.0,0.0,58424000.0,0.0,114760000.0,6336000.0,0.0,18517000.0,0.0,0.0,7000.0,6000.0,0.0,0.0,0.0,297000.0,0.0,1340000.0,0.0,0.0,1094000.0,7454000.0,3230000.0,12070000.0,0.0,0.0,0.0,0.0,623000.0,0.0,167000.0,51000.0,8884000.0,0.0,0.0,10746000.0,0.0,0.0,0.0,1718000.0,11481000.0,5000.0,58850000.0,947000.0,0.0,0.0,0.0,47508000.0,0.0,238989000.0,0.0,68000.0,8000.0,0.0,0.0,0.0,4000.0,3033000.0,0.0,607000.0,0.0,0.0,47428000.0,1000.0,0.0,112000.0,100000.0,38863000.0,424000.0,5859000.0,1157000.0,15000.0,0.0,41509000.0,18138000.0,150000.0,244581000.0,238000.0,0.0,8638000.0,0.0,58922000.0,7756000.0,0.0,2308000.0,0.0,0.0,2210000.0,27000.0,12000.0,0.0,1000.0,0.0,109000.0,19000.0,13000.0,2722000.0,0.0,0.0,0.0,4249000.0,14000.0,1000.0,0.0,0.0,0.0,46303000.0,5951000.0,0.0,7272000.0,3706000.0,25293000.0,1000.0,5000.0,3220000.0,0.0,1830000.0,8000.0,376000.0,0.0,7831000.0,125000.0,0.0,2009112000.0,18000.0,0.0,38304000.0,0.0,0.0,0.0,2000.0,0.0,308000.0,0.0,9512000.0,0.0,288000.0,0.0,0.0,8855000.0,4000.0,76000.0,2705000.0,20906000.0,599000.0,0.0,0.0,189224000.0,0.0,0.0,0.0,5000.0,106000.0,271000.0,941000.0,0.0,0.0
bhs,0.0,0.0,0.0,0.0,1082000.0,424000.0,189000.0,0.0,1773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7455000.0,329000.0,0.0,21365000.0,5338000.0,0.0,0.0,0.0,0.0,0.0,0.0,417000.0,14000.0,0.0,0.0,14000.0,0.0,0.0,2645000.0,0.0,0.0,0.0,0.0,3182000.0,0.0,9614000.0,40000.0,0.0,0.0,0.0,10678000.0,0.0,177389000.0,0.0,0.0,0.0,13000.0,0.0,0.0,0.0,108000.0,0.0,0.0,0.0,0.0,727000.0,0.0,0.0,0.0,33405000.0,0.0,1001000.0,0.0,0.0,0.0,45000.0,2152000.0,1477000.0,0.0,15327000.0,0.0,0.0,0.0,0.0,52000.0,0.0,0.0,0.0,0.0,1096572000.0,32000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12220000.0,4892000.0,0.0,808000.0,0.0,9000.0,483000.0,22510000.0,774000.0,0.0,0.0,0.0,189000.0,0.0,0.0,0.0,0.0,160272000.0,7000.0,0.0,0.0,0.0,0.0,26000.0,0.0,0.0,0.0,0.0,387000.0,0.0,0.0,0.0,0.0,97000.0,34628000.0,0.0,0.0,0.0,0.0,0.0,200000.0,383572000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blz,0.0,0.0,0.0,0.0,111000.0,214000.0,34000.0,0.0,532000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317000.0,22000.0,0.0,3418000.0,1092000.0,0.0,0.0,0.0,0.0,0.0,0.0,304000.0,268000.0,0.0,0.0,0.0,0.0,0.0,1759000.0,65000.0,0.0,0.0,0.0,0.0,0.0,452000.0,0.0,0.0,0.0,0.0,429000.0,0.0,25697000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28226000.0,0.0,0.0,1316000.0,2048000.0,0.0,0.0,0.0,0.0,330000.0,0.0,0.0,0.0,0.0,328000.0,1657000.0,0.0,5740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4926000.0,1256000.0,0.0,1000.0,0.0,0.0,53000.0,0.0,24000.0,0.0,14000.0,0.0,280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599000.0,0.0,0.0,0.0,0.0,102000.0,0.0,0.0,0.0,0.0,0.0,203000.0,0.0,0.0,0.0,0.0,0.0,0.0,44266000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bmu,0.0,0.0,0.0,0.0,2477000.0,4970000.0,3212000.0,0.0,28417000.0,0.0,0.0,0.0,1000.0,1000.0,14329000.0,36000.0,0.0,0.0,2548000.0,2781000.0,0.0,218136000.0,21319000.0,158000.0,288000.0,0.0,0.0,51000.0,0.0,30000.0,100000.0,160000.0,1249000.0,126000.0,881000.0,0.0,14831000.0,18000.0,0.0,113000.0,0.0,18575000.0,0.0,33542000.0,155000.0,0.0,0.0,0.0,45863000.0,0.0,398447000.0,0.0,1776000.0,0.0,28000.0,0.0,0.0,0.0,69000.0,0.0,19000.0,651000.0,960000.0,50823000.0,0.0,330000.0,1456000.0,0.0,1299000.0,10769000.0,0.0,0.0,151000.0,623000.0,26708000.0,11925000.0,0.0,95558000.0,0.0,0.0,0.0,25000.0,931000.0,0.0,0.0,7000.0,0.0,0.0,579000.0,19000.0,61000.0,0.0,2009000.0,0.0,46000.0,0.0,0.0,12000.0,0.0,0.0,0.0,654000.0,508433000.0,0.0,0.0,11000.0,120000.0,26552000.0,732000.0,0.0,31389000.0,0.0,711000.0,2161000.0,102000.0,1334000.0,0.0,1948000.0,442000.0,2726000.0,0.0,1000.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265000.0,0.0,0.0,174000.0,1330000.0,2646000.0,33000.0,0.0,0.0,384000.0,1078000.0,1821000.0,0.0,10000.0,5318000.0,0.0,0.0,4000.0,1484174000.0,12126000.0,0.0,0.0,0.0,0.0,217000.0,726000.0,0.0,0.0
bol,0.0,0.0,0.0,0.0,133423000.0,39000.0,6643000.0,0.0,10563000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180267000.0,0.0,0.0,6227000.0,8030000.0,0.0,0.0,0.0,0.0,0.0,0.0,2164000.0,1686000.0,0.0,0.0,0.0,0.0,0.0,2578000.0,0.0,0.0,0.0,0.0,8666000.0,0.0,37555000.0,43000.0,0.0,0.0,0.0,15187000.0,0.0,19527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160000.0,7000.0,0.0,1065000.0,0.0,0.0,0.0,2000.0,0.0,2435000.0,0.0,0.0,0.0,374000.0,9781000.0,0.0,0.0,65091000.0,0.0,0.0,0.0,0.0,2420000.0,0.0,0.0,0.0,0.0,0.0,444000.0,61000.0,251000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,14761000.0,695000.0,0.0,0.0,0.0,27000.0,706000.0,78610000.0,3000.0,0.0,95000.0,0.0,5558000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16009000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134000.0,0.0,0.0,0.0,1670000.0,157903000.0,0.0,0.0,0.0,0.0,0.0,103000.0,0.0,0.0,0.0
